date,Meta Quest,Meta Quest 3,Meta Quest Pro,Oculus Quest,Meta AR glasses
2023-01-01,19,1,2,30,0
2023-01-08,13,1,1,24,0
2023-01-15,11,0,1,22,0
2023-01-22,11,1,1,22,0
2023-01-29,11,1,2,21,0
2023-02-05,9,0,1,19,0
2023-02-12,9,0,1,18,0
2023-02-19,10,1,1,19,0
2023-02-26,10,1,1,18,0
2023-03-05,10,1,1,17,0
2023-03-12,8,1,1,17,0
2023-03-19,9,0,1,17,0
2023-03-26,9,0,1,16,0
2023-04-02,8,1,1,16,0
2023-04-09,8,0,1,15,0
2023-04-16,7,0,1,14,0
2023-04-23,7,0,1,14,0
2023-04-30,6,0,1,14,0
2023-05-07,6,0,1,12,0
2023-05-14,6,0,1,12,0
2023-05-21,7,0,1,13,0
2023-05-28,12,4,1,15,0
2023-06-04,18,6,4,19,0
2023-06-11,12,3,1,15,0
2023-06-18,11,2,1,15,0
2023-06-25,11,2,1,16,0
2023-07-02,10,2,1,16,0
2023-07-09,10,2,1,16,0
2023-07-16,9,2,1,15,0
2023-07-23,10,2,1,15,0
2023-07-30,10,2,1,17,0
2023-08-06,10,2,1,15,0
2023-08-13,9,2,1,14,0
2023-08-20,9,2,1,13,0
2023-08-27,9,2,1,13,0
2023-09-03,9,2,1,13,0
2023-09-10,9,2,1,12,0
2023-09-17,10,3,1,12,0
2023-09-24,25,15,1,14,0
2023-10-01,17,9,1,14,0
2023-10-08,28,17,1,16,0
2023-10-15,31,20,1,17,0
2023-10-22,30,18,1,16,0
2023-10-29,26,15,1,15,0
2023-11-05,25,15,1,17,0
2023-11-12,33,17,1,20,0
2023-11-19,49,26,1,26,0
2023-11-26,41,21,1,21,0
2023-12-03,38,21,1,21,0
2023-12-10,40,22,1,22,0
2023-12-17,44,23,1,25,0
2023-12-24,89,37,2,39,0
2023-12-31,44,20,1,22,0
2024-01-07,31,14,1,15,0
2024-01-14,27,14,1,15,0
2024-01-21,24,12,1,13,0
2024-01-28,27,14,2,14,0
2024-02-04,43,25,5,17,0
2024-02-11,39,22,4,15,0
2024-02-18,33,16,2,14,0
2024-02-25,27,13,2,13,0
2024-03-03,26,12,1,13,0
2024-03-10,23,11,1,12,0
2024-03-17,23,11,1,11,0
2024-03-24,24,11,1,13,0
2024-03-31,23,9,1,11,0
2024-04-07,20,9,1,11,0
2024-04-14,21,8,1,10,0
2024-04-21,21,9,1,10,0
2024-04-28,21,10,1,11,0
2024-05-05,19,8,1,10,0
2024-05-12,18,8,1,9,0
2024-05-19,19,8,1,10,0
2024-05-26,20,9,1,11,0
2024-06-02,21,10,1,11,0
2024-06-09,23,11,1,11,0
2024-06-16,23,10,1,12,0
2024-06-23,22,10,1,11,0
2024-06-30,23,10,1,12,0
2024-07-07,23,11,1,11,0
2024-07-14,26,13,1,11,0
2024-07-21,24,11,1,11,0
2024-07-28,22,10,1,10,0
2024-08-04,21,10,1,10,0
2024-08-11,22,10,1,10,0
2024-08-18,21,10,1,10,0
2024-08-25,20,10,1,9,0
2024-09-01,19,9,1,9,0
2024-09-08,19,9,1,8,0
2024-09-15,18,8,1,7,0
2024-09-22,32,15,1,8,1
2024-09-29,30,15,1,9,1
2024-10-06,27,14,1,9,0
2024-10-13,33,16,1,9,0
2024-10-20,35,18,1,9,0
2024-10-27,34,17,1,9,0
2024-11-03,33,17,1,9,0
2024-11-10,38,19,1,10,0
2024-11-17,48,26,2,12,0
2024-11-24,69,41,2,17,0
2024-12-01,60,31,2,14,0
2024-12-08,50,26,2,14,0
2024-12-15,52,27,2,13,0
2024-12-22,100,53,2,22,0
2024-12-29,62,31,2,15,0
